bankName,startDate,reportingPeriod,receipts,expenditures,merchantProviderFees,startBalance,creditTotal,receiptTotal,subtotal,expenditureTotal,endBalance,filerReportedDepositReceiptUnitemizedTotal,filerReportedDepositReceiptItemizedTotal,filerReportedDepositReceiptTotal,merchantProviderFeeTotal,savingsBalance,cashOnHand,id,reportId,reportTypeId,reportTypeDescription,recordTypeId,cpfId,filerCategory,filingMechanism,guid,reportYear,endDate,dateFiled,dateFiledMedium,isAmendment,isQualifiedAmendment,isAmended,amendmentReason,previousReportId,nextReportId,isCandidateReport,isPeriodicReport,isDepositoryPeriodicReport,isNd102,isDepositReport,isBankReport,isLateContributionReport,isExpenseReport,isReimbursementReport,isSv1,isDonationReport,isCreditCardReport,isIePacReport,isPayrollReport,IsIndependentSpendingReport
East Cambridge Savings Bank,8/1/2021,8/1/2021 - 8/31/2021,[],[],[],"$17,385.41",$740.56,$740.56,"$18,125.97",$875.82,"$17,250.15",$0.00,$0.00,$0.00,$0.00,$0.00,"$17,250.15",794768,794768,70,Bank Report,105,12222,D,,f0dafb3c-aa05-ec11-a95e-000d3a1ad608,2021,8/31/2021,9/1/2021,"Wednesday, September 1, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,7/1/2021,7/1/2021 - 7/31/2021,[],[],[],$633.07,"$17,967.30","$17,967.30","$18,600.37","$1,214.96","$17,385.41",$0.00,$0.00,$0.00,$0.00,$0.00,"$17,385.41",791243,791243,70,Bank Report,105,12222,D,,161e9c2a-46f1-eb11-a95d-000d3a1ad608,2021,7/31/2021,8/3/2021,"Tuesday, August 3, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,6/1/2021,6/1/2021 - 6/30/2021,[],[],[],"$1,007.76",$686.32,$686.32,"$1,694.08","$1,061.01",$633.07,$0.00,$0.00,$0.00,$0.00,$0.00,$633.07,786809,786809,70,Bank Report,105,12222,D,,e807cfc7-d7ce-eb11-a95b-000d3a1ad608,2021,6/30/2021,7/1/2021,"Thursday, July 1, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,5/1/2021,5/1/2021 - 5/31/2021,[],[],[],"$1,867.77",$0.03,$0.03,"$1,867.80",$860.04,"$1,007.76",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,007.76",783588,783588,70,Bank Report,105,12222,D,,ec8e2972-8ab9-eb11-a958-000d3a1ad608,2021,5/31/2021,6/2/2021,"Wednesday, June 2, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,4/1/2021,4/1/2021 - 4/30/2021,[],[],[],"$1,854.94","$1,000.03","$1,000.03","$2,854.97",$987.20,"$1,867.77",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,867.77",780057,780057,70,Bank Report,105,12222,D,,22142d2c-44a1-eb11-a958-000d3a1ad608,2021,4/30/2021,5/3/2021,"Monday, May 3, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,3/1/2021,3/1/2021 - 3/31/2021,[],[],[],"$2,787.98",$0.05,$0.05,"$2,788.03",$933.09,"$1,854.94",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,854.94",776561,776561,70,Bank Report,105,12222,D,,bd25163d-a082-eb11-a958-000d3a1ad608,2021,3/31/2021,4/1/2021,"Thursday, April 1, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,2/1/2021,2/1/2021 - 2/28/2021,[],[],[],"$4,009.57",$0.07,$0.07,"$4,009.64","$1,221.66","$2,787.98",$0.00,$0.00,$0.00,$0.00,$0.00,"$2,787.98",773587,773587,70,Bank Report,105,12222,D,,dd8aefc9-4871-eb11-a958-000d3a1ad608,2021,2/28/2021,3/1/2021,"Monday, March 1, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,1/1/2021,1/1/2021 - 1/31/2021,[],[],[],"$4,650.86",$720.47,$720.47,"$5,371.33","$1,361.76","$4,009.57",$0.00,$0.00,$0.00,$0.00,$0.00,"$4,009.57",771120,771120,70,Bank Report,105,12222,D,,72d78fe1-a356-eb11-a958-000d3a1ad608,2021,1/31/2021,2/2/2021,"Tuesday, February 2, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,12/1/2020,12/1/2020 - 12/31/2020,[],[],[],"$4,223.14","$1,172.45","$1,172.45","$5,395.59",$744.73,"$4,650.86",$0.00,$0.00,$0.00,$0.00,$0.00,"$4,650.86",765778,765778,70,Bank Report,105,12222,D,,7f9994ae-b843-eb11-a958-000d3a1ad608,2020,12/31/2020,1/4/2021,"Monday, January 4, 2021",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,11/1/2020,11/1/2020 - 11/30/2020,[],[],[],"$5,163.95",$0.11,$0.11,"$5,164.06",$940.92,"$4,223.14",$0.00,$0.00,$0.00,$0.00,$0.00,"$4,223.14",762584,762584,70,Bank Report,105,12222,D,,7a595810-f833-eb11-a958-000d3a1ad608,2020,11/30/2020,12/1/2020,"Tuesday, December 1, 2020",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
